,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
66,0,24.0,3104,1.079164542000001,"[1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1]",25,512,6
67,1,24.0,3105,1.0897717500000113,"[1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1]",25,512,6
68,2,24.0,3106,1.1004308750000007,"[1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1]",25,512,6
69,4,24.0,3108,1.1121530000000064,"[1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1]",25,512,6
70,8,24.0,3112,1.1248963750000058,"[1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1]",25,512,6
71,16,25.0,3121,1.139484292000006,"[1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1]",25,512,6
72,32,25.0,3137,1.1584660840000112,"[1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1]",25,512,6
73,64,34.0,3173,1.1854579590000043,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1]",25,512,6
74,128,37.0,3239,1.2290325000000024,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1]",25,512,6
75,256,37.0,3367,1.3078237500000114,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1]",25,512,6
76,512,37.0,3623,1.4617717500000111,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1]",25,512,6
77,0,23.0,3623,1.4745975420000121,"[0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0]",25,512,7
78,1,24.0,3625,1.4872517499999987,"[1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0]",25,512,7
